filename	promotion	nomination
16 Hurricane Emily (1993)	20:38, 7 November 2015	02:41, 3 October 2015
/October 2015
1 Assassination of Spencer Perceval	06:32, 31 October 2015	22:55, 19 October 2015
2 Æthelwulf	06:33, 31 October 2015	21:59, 12 October 2015
3 Ice (The X-Files)	06:34, 31 October 2015	09:29, 28 September 2015
4 Schmerber v. California	06:35, 31 October 2015	17:06, 6 October 2015
5 Yugoslav submarine Nebojša	06:36, 31 October 2015	11:08, 30 September 2015
6 Hebron Church (Intermont, West Virginia)	06:37, 31 October 2015	23:40, 4 October 2015
7 Arnold Bax	06:37, 31 October 2015	12:43, 9 October 2015
8 Frank Jenner	06:38, 31 October 2015	20:04, 5 October 2015
9 Tyrone Garland	15:54, 22 October 2015	22:05, 1 September 2015
10 Mantis	15:56, 22 October 2015	Chiswick Chap, LittleJerry and
11 Boys Don't Cry (film)	15:57, 22 October 2015	02:35, 24 September 2015
12 Life's Shop Window	15:58, 22 October 2015	20:11, 23 September 2015
13 Perijá tapaculo	15:59, 22 October 2015	18:25, 23 September 2015
14 Maniac Mansion	16:00, 22 October 2015	14:36, 13 September 2015
15 Horse-fly	16:01, 22 October 2015	10:32, 9 September 2015
16 Boletus aereus	16:01, 22 October 2015	01:24, 30 September 2015
17 In Our Time (short story collection)	20:21, 15 October 2015	20:00, 30 August 2015
18 Vampire: The Masquerade – Redemption	20:22, 15 October 2015	20:22, 29 August 2015
19 Ununseptium	20:23, 15 October 2015	19:44, 29 August 2015
20 Oviri (Gauguin)	20:23, 15 October 2015	Nominator(s): Ceoil, Modernist,
21 St Denys' Church, Sleaford	20:24, 15 October 2015	15:16, 27 August 2015
22 SMS Prinz Adalbert (1901)	20:25, 15 October 2015	14:29, 8 September 2015
23 Trout Creek Mountains	20:26, 15 October 2015	22:20, 7 September 2015
24 Apatosaurus	20:27, 15 October 2015	00:00, 4 September 2015
25 Boroughitis	20:29, 15 October 2015	23:32, 20 September 2015
26 R U Professional	20:30, 15 October 2015	21:42, 29 September 2015
27 The Turn of the Screw (2009 film)	10:02, 9 October 2015	08:06, 15 August 2015
28 Pyxis	08:07, 9 October 2015	14:14, 3 September 2015
29 Satoru Iwata	16:27, 8 October 2015	00:16, 1 September 2015
30 Bootham Crescent	10:55, 7 October 2015	20:43, 4 September 2015
31 United States presidential election, 1880	15:58, 6 October 2015	13:42, 29 August 2015
32 The Wrestlers (Etty)	15:09, 4 October 2015	11:01, 22 September 2015
33 Rod Steiger	15:09, 4 October 2015	Nominator(s): ♦ Dr.
34 Russian battleship Oslyabya	15:10, 4 October 2015	20:51, 10 September 2015
35 Sci-Fi Dine-In Theater Restaurant	15:11, 4 October 2015	11:53, 6 September 2015
36 Perovskia atriplicifolia	15:11, 4 October 2015	Nominator(s): RO and Squeamish
37 Romney Literary Society	16:47, 1 October 2015	15:30, 2 August 2015
38 Yugoslav monitor Vardar	16:48, 1 October 2015	10:09, 1 August 2015
/September 2015
1 Mortimer Wheeler	00:18, 30 September 2015	20:17, 22 August 2015
2 Suillus luteus	00:18, 30 September 2015	02:35, 20 August 2015
3 Banded sugar ant	00:17, 30 September 2015	07:12, 12 August 2015
4 Opisthocoelicaudia	00:17, 30 September 2015	20:44, 11 August 2015
5 Clinton Engineer Works	00:15, 30 September 2015	11:02, 18 July 2015
6 Russian battleship Potemkin	00:15, 30 September 2015	01:34, 15 July 2015
7 United States v. Washington	20:37, 26 September 2015	17:16, 29 August 2015
8 Diamonds Are Forever (novel)	16:32, 20 September 2015	19:41, 12 September 2015
9 Jeannette Expedition	16:28, 20 September 2015	20:28, 6 September 2015
10 The Triumph of Cleopatra	15:50, 20 September 2015	23:29, 23 August 2015
11 Coinage Act of 1873	15:50, 20 September 2015	11:52, 20 August 2015
12 Typhoon Omar	15:49, 20 September 2015	21:24, 16 August 2015
13 Pitfour estate	15:49, 20 September 2015	09:25, 8 August 2015
14 Too Much Too Soon (album)	15:48, 20 September 2015	20:32, 15 July 2015
15 Moonraker (novel)	brain 15:22, 12 September	21:55, 28 August 2015
16 Kalidas (film)	15:21, 12 September 2015	12:29, 28 July 2015
17 Gateway Protection Programme	18:29, 6 September 2015	20:41, 4 August 2015
18 Mayfly	18:30, 6 September 2015	08:58, 4 August 2015
19 Emu	18:31, 6 September 2015	18:05, 1 August 2015
20 Menkauhor Kaiu	18:32, 6 September 2015	11:43, 1 August 2015
21 Battle of Agua Dulce	18:33, 6 September 2015	02:05, 4 July 2015
22 Thunderbirds (TV series)	13:03, 6 September 2015	02:01, 28 June 2015
23 Sisters at Heart	21:05, 5 September 2015	01:41, 2 August 2015
24 Norma (constellation)	13:08, 3 September 2015	20:09, 8 August 2015
25 Hastings Line	16:53, 3 September 2015	18:45, 19 July 2015
26 Dilwale Dulhania Le Jayenge	17:05, 3 September 2015	03:37, 4 July 2015
27 Joehana	17:16, 3 September 2015	00:47, 11 August 2015
/August 2015
1 United States v. Kagama	12:17, 29 August 2015	04:26, 24 July 2015
2 The Boat Races 2015	12:16, 29 August 2015	13:22, 24 July 2015
3 Battle of Malvern Hill	12:16, 29 August 2015	07:20, 24 July 2015
4 Kill 'Em All	12:15, 29 August 2015	19:42, 28 June 2015
5 Paterson Clarence Hughes	11:22, 25 August 2015	09:33, 1 August 2015
6 Kurt Vonnegut	23:51, 24 August 2015	(UTC); Wehwalt (talk ·
7 Samuel J. Randall	23:51, 24 August 2015	15:23, 27 June 2015
8 The Combat: Woman Pleading for the Vanquished	03:48, 23 August 2015	15:08, 27 July 2015
9 Sieges of Taunton	01:35, 20 August 2015	14:40, 2 August 2015
10 Warren G. Harding	01:33, 20 August 2015	01:40, 2 August 2015
11 Imperator torosus	01:33, 20 August 2015	03:30, 27 July 2015
12 Carrow Road	00:45, 20 August 2015	16:01, 2 July 2015
13 Muhammad ibn Tughj al-Ikhshid	00:45, 20 August 2015	20:46, 26 June 2015
14 Dave Gallaher	00:46, 18 August 2015	11:15, 25 June 2015
15 Fremantle Prison	07:29, 15 August 2015	Nominator(s):
16 Last Gasp (Inside No. 9)	07:30, 15 August 2015	14:33, 28 May 2015
17 American Pharoah	07:32, 15 August 2015	User:Vesuvius Dogg, User:Tigerboy1966 ,
18 Serpens	07:33, 15 August 2015	02:49, 16 July 2015
19 Ursa Minor	08:10, 8 August 2015	11:10, 17 July 2015
20 Mascarene grey parakeet	08:07, 8 August 2015	07:41, 17 July 2015
21 Annunciation (Memling)	07:43, 8 August 2015	Nominator(s): Victoriaearle,
22 Chetro Ketl	07:33, 8 August 2015	17:47, 5 July 2015
23 History of Liverpool F.C. (1892–1959)	05:59, 8 August 2015	11:51, 4 June 2015
24 Halifax Explosion	08:43, 1 August 2015	02:32, 14 July 2015
25 No. 450 Squadron RAAF	08:40, 1 August 2015	04:31, 23 June 2015
26 Stanley Price Weir	08:42, 1 August 2015	12:22, 2 July 2015
27 Jeremy Thorpe	08:54, 1 August 2015	20:26, 23 July 2015
28 Master of Puppets	08:55, 1 August 2015	21:40, 14 June 2015
29 Mary Margaret O'Reilly	08:21, 1 August 2015	12:48, 31 May 2015
/July 2015
1 Ankylosaurus	23:21, 31 July 2015	21:36, 12 July 2015
2 Nuckelavee	22:58, 31 July 2015	09:27, 26 May 2015
3 JC's Girls	23:33, 31 July 2015	23:31, 22 May 2015
4 Hitler Diaries	17:25, 31 July 2015	11:46, 17 July 2015
5 Giant mouse lemur	15:41, 31 July 2015	22:44, 25 June 2015
6 Hu Zhengyan	15:20, 31 July 2015	12:22, 27 May 2015
7 Youth on the Prow, and Pleasure at the Helm	01:01, 26 July 2015	15:42, 4 July 2015
8 Eta Carinae	00:58, 26 July 2015	01:51, 3 June 2015
9 Hugh Beadle	02:48, 24 July 2015	06:23, 7 July 2015
10 Fabula Nova Crystallis Final Fantasy	01:57, 24 July 2015	10:06, 1 June 2015
11 Maya civilization	01:28, 24 July 2015	09:20, 19 May 2015
12 The Ordeal of Gilbert Pinfold	15:39, 16 July 2015	21:32, 1 July 2015
13 Frigatebird	15:29, 16 July 2015	00:37, 11 June 2015
14 Hurricane Gonzalo	14:52, 16 July 2015	01:37, 23 May 2015
15 Columbian mammoth	14:42, 16 July 2015	22:47, 10 May 2015
16 SMS Kaiser Wilhelm der Grosse	17:14, 12 July 2015	12:16, 18 May 2015
17 Witches' Sabbath (The Great He-Goat)	14:18, 11 July 2015	19:16, 13 June 2015
18 Capon Chapel	14:11, 11 July 2015	04:24, 31 May 2015
19 Tom Simpson	04:34, 8 July 2015	17:51, 6 May 2015
20 Vision in White	23:27, 3 July 2015	16:10, 11 June 2015
21 The Destroying Angel and Daemons of Evil Interrupting the Orgies of the Vicious and Intemperate	23:19, 3 July 2015	09:48, 14 May 2015
/June 2015
1 R. V. C. Bodley	17:41, 29 June 2015	09:25, 6 May 2015
2 P. G. Wodehouse	15:12, 27 June 2015	22:22, 15 June 2015
3 Preparing for a Fancy Dress Ball	14:50, 27 June 2015	00:38, 13 June 2015
4 Denbies	13:49, 27 June 2015	17:36, 24 May 2015
5 The Playboy	14:26, 27 June 2015	08:20, 14 May 2015
6 2012 Budweiser Shootout	14:05, 27 June 2015	06:07, 6 May 2015
7 Elliott Fitch Shepard	14:00, 27 June 2015	16:03, 19 April 2015
8 Mutiny on the Bounty	14:43, 21 June 2015	
9 Waddesdon Bequest	14:01, 21 June 2015	22:00, 16 May 2015
10 Operation Goodwood (naval)	13:58, 21 June 2015	01:38, 15 May 2015
11 Burning of Parliament	13:57, 21 June 2015	03:59, 8 May 2015
12 Scientific Detective Monthly	13:17, 21 June 2015	02:26, 17 May 2015
13 1877 Wimbledon Championship	11:02, 13 June 2015	15:20, 8 May 2015
14 Xx (album)	13:01, 13 June 2015	03:36, 1 April 2015
15 John Wilton (general)	16:11, 8 June 2015	10:08, 17 May 2015
16 HMS Collingwood (1908)	16:10, 8 June 2015	15:24, 7 May 2015
17 Carl Nielsen	08:24, 5 June 2015	18:57, 16 May 2015
18 Battle of San Patricio	08:30, 5 June 2015	21:08, 20 April 2015
/May 2015
1 Panama–Pacific commemorative coins	10:28, 31 May 2015	12:38, 21 May 2015
2 Microscopium	10:23, 31 May 2015	10:38, 17 May 2015
3 Irataba	10:21, 31 May 2015	16:12, 13 May 2015
4 Earth-grazing meteoroid of 13 October 1990	09:47, 31 May 2015	18:52, 24 March 2015
5 Falstaff (opera)	12:18, 27 May 2015	14:09, 11 May 2015
6 A Quiet Night In	11:26, 27 May 2015	22:14, 1 April 2015
7 Shah Rukh Khan	10:08, 21 May 2015	Nominator(s): User:Bollyjeff (talk), User:Dr.
8 Persuasion (1995 film)	10:14, 21 May 2015	01:53, 15 April 2015
9 Ancestry of the Godwins	10:51, 21 May 2015	15:12, 12 April 2015
10 Cincinnati Musical Center half dollar	12:30, 21 May 2015	11:43, 12 April 2015
11 Corona Borealis	23:29, 16 May 2015	12:06, 2 May 2015
12 Tales of Wonder (magazine)	23:36, 16 May 2015	13:00, 12 April 2015
13 1880 Greenback National Convention	23:34, 16 May 2015	14:17, 4 April 2015
14 2003 Sri Lanka cyclone	10:21, 16 May 2015	01:50, 23 March 2015
15 SMS Königsberg (1905)	10:22, 16 May 2015	12:24, 1 April 2015
16 British contribution to the Manhattan Project	10:23, 16 May 2015	21:25, 18 April 2015
17 Space Seed	16:44, 14 May 2015	21:52, 8 March 2015
18 HMS Nairana (1917)	16:07, 13 May 2015	Sturmvogel 66 & Ian
19 Jacobus Anthonie Meessen	13:43, 13 May 2015	07:51, 21 April 2015
20 Battle of Labuan	13:34, 13 May 2015	10:28, 18 April 2015
21 Florence Nagle	13:25, 13 May 2015	Corbett, Richerman, Giano, Dr.
22 Southern Cross (wordless novel)	12:46, 13 May 2015	08:23, 11 April 2015
23 Richie Farmer	14:13, 13 May 2015	15:41, 3 April 2015
24 Camas pocket gopher	12:58, 13 May 2015	03:11, 17 March 2015
25 Children of Mana	15:03, 9 May 2015	22:49, 22 April 2015
26 Jarrow March	14:04, 9 May 2015	00:52, 25 March 2015
27 Bill Denny (Australian politician)	13:24, 9 May 2015	12:11, 14 February 2015
28 Russulaceae	2 May 2015 (UTC)	09:17, 23 April 2015
/April 2015
1 O heilges Geist- und Wasserbad, BWV 165	30 April 2015 (UTC)	22:26, 8 April 2015
2 Stephen I of Hungary	23:18, 30 April 2015	16:47, 31 January 2015
3 Maurice Ravel	30 April 2015 (UTC)	16:26, 18 April 2015
4 City of Angels (Thirty Seconds to Mars song)	15:21, 30 April 2015	18:12, 26 March 2015
5 Astatine	30 April 2015 (UTC)	23:18, 13 March 2015
6 Hurricane Marie (2014)	30 April 2015 (UTC)	00:03, 25 February 2015
7 St. Elmo (1914 film)	15:06, 30 April 2015	22:30, 2 February 2015
8 Castell Coch	24 April 2015 (UTC)	April 2015 (UTC), User:Hchc2009,
9 Enthiran	24 April 2015 (UTC)	02:19, 9 April 2015
10 Bazy Tankersley	24 April 2015 (UTC)	08:00, 6 April 2015
11 Romance (Luis Miguel album)	24 April 2015 (UTC)	22:52, 25 March 2015
12 Unas	24 April 2015 (UTC)	08:03, 24 March 2015
13 Telopea oreades	24 April 2015 (UTC)	(talk · contribs) &
14 Falcon's Fury	24 April 2015 (UTC)	14:36, 28 February 2015
15 Air Mata Iboe	18 April 2015 (UTC)	13:24, 16 March 2015
16 Texas Revolution	18 April 2015 (UTC)	16:01, 2 March 2015
17 Portrait of Monsieur Bertin	18 April 2015 (UTC)	Modernist, Ceoil, Kafka Liz,
18 Mark Oliphant	18 April 2015 (UTC)	10:19, 15 February 2015
19 Live and Let Die (novel)	12 April 2015 (UTC)	09:23, 1 April 2015
20 McKinley Birthplace Memorial dollar	12 April 2015 (UTC)	19:27, 31 March 2015
21 Susan B. Anthony dollar	12 April 2015 (UTC)	23:52, 26 March 2015
22 Mind Meld	12 April 2015 (UTC)	23:59, 11 March 2015
23 The Negro Motorist Green Book	12 April 2015 (UTC)	08:22, 9 March 2015
24 Radiocarbon dating	12 April 2015 (UTC)	17:26, 6 March 2015
25 Love It to Death	11 April 2015 (UTC)	23:43, 5 February 2015
26 The Tower House	7 April 2015 (UTC)	(UTC), KJP1, Gareth E
27 HMS Illustrious (87)	7 April 2015 (UTC)	02:44, 27 February 2015
28 Blackrock (film)	7 April 2015 (UTC)	07:03, 12 February 2015
29 2014 Lamar Hunt U.S. Open Cup Final	7 April 2015 (UTC)	04:00, 30 January 2015
/March 2015
1 Of Human Feelings	31 March 2015 (UTC)	21:55, 21 December 2014
2 Three-cent silver	31 March 2015 (UTC)	00:31, 22 March 2015
3 Hermeneutic style	31 March 2015 (UTC)	19:47, 25 February 2015
4 Ulysses S. Grant	31 March 2015 (UTC)	01:04, 3 February 2015
5 Edward II of England	31 March 2015 (UTC)	17:20, 29 January 2015
6 Paul Kruger	29 March 2015 (UTC)	12:57, 16 March 2015
7 The Sirens and Ulysses	29 March 2015 (UTC)	16:45, 15 March 2015
8 1804 dollar	26 March 2015 (UTC)	02:29, 2 March 2015
9 Deinocheirus	26 March 2015 (UTC)	19:20, 11 February 2015
10 M-theory	26 March 2015 (UTC)	03:42, 4 February 2015
11 German–Yugoslav Partisan negotiations	24 March 2015 (UTC)	01:23, 24 January 2015
12 United States Sesquicentennial coinage	20 March 2015 (UTC)	22:05, 6 March 2015
13 SMS Dresden (1907)	20 March 2015 (UTC)	16:29, 10 February 2015
14 Sardines (Inside No. 9)	20 March 2015 (UTC)	14:31, 1 February 2015
15 Forrest Highway	20 March 2015 (UTC)	Nominator(s):
16 Taiko	19 March 2015 (UTC)	02:38, 31 December 2014
17 Mary Celeste	17 March 2015 (UTC)	00:00, 10 March 2015
18 Camille Saint-Saëns	12 March 2015 (UTC)	15:59, 28 February 2015
19 Great Stink	12 March 2015 (UTC)	15:54, 27 February 2015
20 Forest raven	12 March 2015 (UTC)	02:24, 6 February 2015
21 Uncle David	12 March 2015 (UTC)	12:14, 26 January 2015
22 Benjamin Tillman	6 March 2015 (UTC)	16:19, 21 February 2015
23 Cosmic Stories and Stirring Science Stories	6 March 2015 (UTC)	01:51, 6 February 2015
24 Gary Cooper	6 March 2015 (UTC)	00:54, 6 February 2015
25 Les Holden	6 March 2015 (UTC)	22:24, 16 January 2015
/February 2015
1 Exhumation of Richard III of England	28 February 2015 (UTC)	13:07, 15 January 2015
2 Shepseskare	28 February 2015 (UTC)	17:48, 9 February 2015
3 Bramshill House	28 February 2015 (UTC)	20:26, 30 January 2015
4 God of War III	28 February 2015 (UTC)	18:38, 9 January 2015
5 American Arts Commemorative Series medallions	28 February 2015 (UTC)	07:00, 3 January 2015
6 Cucurbita	28 February 2015 (UTC)	Nominator(s): HalfGig, Sminthopsis84, Chiswick
7 Keen Johnson	21 February 2015 (UTC)	15:11, 26 January 2015
8 Horace Greeley	21 February 2015 (UTC)	21:46, 13 January 2015
9 Casino Royale (novel)	14 February 2015 (UTC)	12:04, 31 January 2015
10 Laurence Olivier	14 February 2015 (UTC)	18:36, 2 February 2015
11 Rodrigues starling	14 February 2015 (UTC)	10:38, 11 January 2015
12 Money in the Bank (2011)	14 February 2015 (UTC)	04:09, 16 December 2014
13 Girl Pat (1935 trawler)	14 February 2015 (UTC)	16:33, 31 January 2015
14 Fork-marked lemur	14 February 2015 (UTC)	03:27, 31 December 2014
15 Trinity (nuclear test)	14 February 2015 (UTC)	22:06, 30 December 2014
16 Sega Saturn	14 February 2015 (UTC)	06:53, 16 November 2014
17 Final Fantasy: The Spirits Within	11 February 2015 (UTC)	06:54, 12 January 2015
18 Brachychiton rupestris	11 February 2015 (UTC)	13:43, 9 January 2015
19 Interstate 8	11 February 2015 (UTC)	02:58, 6 January 2015
20 Josh Hutcherson	11 February 2015 (UTC)	17:01, 29 November 2014
21 The Thrill Book	5 February 2015 (UTC)	18:30, 5 January 2015
22 William of Wrotham	5 February 2015 (UTC)	15:31, 5 January 2015
23 I Never Liked You	5 February 2015 (UTC)	11:28, 4 January 2015
24 Saint Francis Receiving the Stigmata (van Eyck)	5 February 2015 (UTC)	Nominator(s): Ceoil,
25 James B. Weaver	1 February 2015 (UTC)	00:41, 6 January 2015
/January 2015
1 Freedom Planet	31 January 2015 (UTC)	23:00, 7 January 2015
2 Operation Mascot	30 January 2015 (UTC)	07:40, 30 December 2014
3 Lawrence Wetherby	24 January 2015 (UTC)	22:04, 1 December 2014
4 Banksia lemanniana	21 January 2015 (UTC)	20:05, 29 December 2014
5 Fuji-class battleship	21 January 2015 (UTC)	04:08, 17 December 2014
6 No. 77 Squadron RAAF	14 January 2015 (UTC)	12:35, 20 December 2014
7 California Diamond Jubilee half dollar	14 January 2015 (UTC)	14:44, 19 December 2014
8 Mackensen-class battlecruiser	14 January 2015 (UTC)	16:30, 16 December 2014
9 1987 Giro d'Italia	14 January 2015 (UTC)	20:01, 15 December 2014
10 Amphetamine	14 January 2015 (UTC)	00:25, 6 December 2014
11 Maurice Richard	14 January 2015 (UTC)	00:47, 3 December 2014
12 Pancreatic cancer	14 January 2015 (UTC)	15:12, 1 December 2014
13 St Helen's Church, Ashby-de-la-Zouch	14 January 2015 (UTC)	07:43, 19 November 2014
14 Philip Seymour Hoffman	11 January 2015 (UTC)	12:51, 26 December 2014
15 Hoopoe starling	11 January 2015 (UTC)	09:37, 27 November 2014
16 Jesus nahm zu sich die Zwölfe, BWV 22	9 January 2015 (UTC)	20:31, 10 December 2014
17 Good Girl Gone Bad	9 January 2015 (UTC)	14:12, 13 November 2014
18 William F. Raynolds	8 January 2015 (UTC)	20:00, 18 November 2014
19 Battle of Schliengen	6 January 2015 (UTC)	00:49, 16 November 2014
20 Jack Parsons (rocket engineer)	6 January 2015 (UTC)	18 October 2014 (UTC),
21 Olympic marmot	6 January 2015 (UTC)	23:38, 12 October 2014
22 Marvel Science Stories	5 January 2015 (UTC)	12:49, 20 November 2014
23 The Boat Race 2003	5 January 2015 (UTC)	15:10, 28 October 2014
24 June 1941 uprising in eastern Herzegovina	5 January 2015 (UTC)	03:49, 18 October 2014
/December 2014
1 AI Mk. IV radar	30 December 2014 (UTC)	21:23, 18 September 2014
2 Smyth Report	29 December 2014 (UTC)	22:06, 3 October 2014
3 John Barrymore	29 December 2014 (UTC)	23:01, 16 December 2014
4 A Handful of Dust	29 December 2014 (UTC)	22:16, 8 December 2014
5 Telescopium	29 December 2014 (UTC)	02:13, 28 November 2014
6 William Wurtenburg	29 December 2014 (UTC)	05:19, 8 October 2014
7 Gilbert du Motier, Marquis de Lafayette	19 December 2014 (UTC)	14:18, 4 December 2014
8 2010 Sylvania 300	18 December 2014 (UTC)	00:59, 11 October 2014
9 September Morn	15 December 2014 (UTC)	01:11, 4 December 2014
10 Hillary Rodham Clinton	13 December 2014 (UTC)	22:57, 15 November 2014
11 Francis Poulenc	4 December 2014 (UTC)	21:51, 24 November 2014
12 Lafayette dollar	4 December 2014 (UTC)	07:31, 11 October 2014
/November 2014
1 The Fifth Element	28 November 2014 (UTC)	07:10, 19 September 2014
2 Paraceratherium	27 November 2014 (UTC)	20:26, 5 October 2014
3 Léal Souvenir	27 November 2014 (UTC)	Nominators: Ceoil, Kafka
4 Ford Island	27 November 2014 (UTC)	15:33, 28 October 2014
5 Garnet Malley	27 November 2014 (UTC)	23:03, 1 November 2014
6 William Beach Thomas	27 November 2014 (UTC)	19:24, 31 October 2014
7 U.S. Route 45 in Michigan	27 November 2014 (UTC)	20:55, 18 October 2014
8 Australian raven	27 November 2014 (UTC)	01:29, 20 October 2014
9 Lightning (Final Fantasy)	27 November 2014 (UTC)	10:38, 6 October 2014
10 Pah Wongso Pendekar Boediman	27 November 2014 (UTC)	16:16, 22 October 2014
11 Science Fiction Quarterly	19 November 2014 (UTC)	15:42, 5 October 2014
12 Tony Hawk's Underground	19 November 2014 (UTC)	03:10, 28 September 2014
13 Barn owl	19 November 2014 (UTC)	10:39, 11 September 2014
14 Nativity (Christus)	18 November 2014 (UTC)	14:57, 24 October 2014
15 Three Beauties of the Present Day	18 November 2014 (UTC)	23:04, 30 September 2014
16 Female genital mutilation	18 November 2014 (UTC)	05:24, 4 November 2014
17 Murder of Leigh Leigh	15 November 2014 (UTC)	09:05, 28 August 2014
18 Ellen Wilkinson	12 November 2014 (UTC)	22:17, 4 November 2014
19 Master System	12 November 2014 (UTC)	04:22, 13 September 2014
20 American paddlefish	12 November 2014 (UTC)	20:54, 5 September 2014
21 Masked shrike	5 November 2014 (UTC)	14:23, 19 October 2014
22 Luo Yixiu	5 November 2014 (UTC)	12:44, 28 July 2014
23 No. 1 Squadron RAAF	1 November 2014 (UTC)	14:13, 5 September 2014
/October 2014
1 Acacia pycnantha	31 October 2014 (UTC)	14:43, 14 September 2014
2 Ontario Highway 403	31 October 2014 (UTC)	21:41, 12 September 2014
3 Jack Crawford (cricketer)	26 October 2014 (UTC)	12:09, 18 October 2014
4 HMS Formidable (67)	26 October 2014 (UTC)	23:42, 28 September 2014
5 The Boat Race 1993	26 October 2014 (UTC)	18:19, 16 September 2014
6 Carl Hans Lody	26 October 2014 (UTC)	14:53, 15 September 2014
7 Chandralekha (1948 film)	26 October 2014 (UTC)	12:53, 29 August 2014
8 Endometrial cancer	26 October 2014 (UTC)	23:40, 31 August 2014
9 Æthelstan A	22 October 2014 (UTC)	19:31, 8 September 2014
10 Rodent	22 October 2014 (UTC)	06:32, 14 August 2014
11 Turquoise parrot	20 October 2014 (UTC)	11:26, 5 September 2014
12 Interstate 69 in Michigan	18 October 2014 (UTC)	05:07, 1 September 2014
13 Not My Life	20 October 2014 (UTC)	19:19, 31 August 2014
14 Hemmema	20 October 2014 (UTC)	11:23, 9 August 2014
15 Keswick, Cumbria	20 October 2014 (UTC)	Tim riley and Dr.
16 William H. Seward	20 October 2014 (UTC)	16:46, 28 September 2014
17 Bonshō	12:56, October 8, 2014‎	07:58, 2 September 2014
18 1850 Atlantic hurricane season	11:25, 8 October 2014	23:32, 16 August 2014
19 Future Science Fiction and Science Fiction Stories	20 October 2014 (UTC)	00:57, 21 July 2014
20 Briarcliff Manor, New York	20 October 2014 (UTC)	04:20, 25 August 2014
21 Fez (video game)	20 October 2014 (UTC)	12:50, 19 August 2014
22 ...And Justice for All (album)	20 October 2014 (UTC)	15:31, 23 August 2014
23 Caesar Hull	20 October 2014 (UTC)	19:17, 23 September 2014
/September 2014
1 Madman's Drum	20 October 2014 (UTC)	13:05, 15 August 2014
2 Sonic X	29 September 2014 (UTC)	04:01, 22 August 2014
3 Russian battleship Pobeda	29 September 2014 (UTC)	13:34, 21 August 2014
4 Indian Head cent	29 September 2014 (UTC)	15:57, 20 August 2014
5 Death on the Rock	29 September 2014 (UTC)	
6 James Chadwick	29 September 2014 (UTC)	2014 (UTC) and Nobeljeff
7 George Formby Snr	29 September 2014 (UTC)	20:10, 17 September 2014
8 2002 Pacific typhoon season	29 September 2014 (UTC)	12:31, 31 July 2014
9 Fanny Bullock Workman	21 September 2014 (UTC)	03:04, 5 July 2014
10 Flight Unlimited III	01:15, 20 September 2014	01:05, 19 August 2014
11 Tintin in Tibet	21 September 2014 (UTC)	10:55, 4 August 2014
12 all things	00:57, 20 September 2014	05:09, 4 August 2014
13 Oriental Film	21 September 2014 (UTC)	03:37, 23 August 2014
14 Chris Gragg	21 September 2014 (UTC)	16:44, 5 August 2014
15 Franklin Pierce	13:08, 13 September 2014	21:34, 27 August 2014
16 Epacris impressa	12:24, 13 September 2014	07:20, 14 July 2014
17 SMS Scharnhorst	14:05, 10 September 2014	20:56, 1 August 2014
18 Ontario Highway 61	13:56, 10 September 2014	20:45, 14 July 2014
19 Henry Burrell (admiral)	04:08, 5 September 2014	07:42, 10 August 2014
20 Isopoda	04:09, 5 September 2014	10:19, 9 August 2014
21 Æthelwold ætheling	04:09, 5 September 2014	16:14, 16 August 2014
22 Beaune Altarpiece	04:10, 5 September 2014	Nominators: Ceoil,
23 Pictor	04:10, 5 September 2014	05:21, 8 August 2014
/August 2014
1 Sind sparrow	07:55, 29 August 2014	07:07, 13 August 2014
2 Alsos Mission	07:57, 29 August 2014	11:30, 8 July 2014
3 John Plagis	06:26, 23 August 2014	17:23, 2 August 2014
4 Jules Massenet	00:30, 23 August 2014	21:32, 12 August 2014
5 Nagato-class battleship	00:28, 23 August 2014	14:11, 27 July 2014
6 Secret of Mana	00:46, 23 August 2014	19:30, 17 July 2014
7 Freedom from Want (painting)	00:44, 23 August 2014	16:05, 12 July 2014
8 Katy Perry	22:20, 22 August 2014	19:50, 25 July 2014
9 1998 FA Charity Shield	14:42, 20 August 2014	13:28, 20 May 2014
10 George Formby	23:28, 19 August 2014	Cassiantotalk 21:26, 13 August
11 John Gielgud	23:12, 19 August 2014	21:43, 12 August 2014
12 The Bread-Winners	23:50, 19 August 2014	01:16, 10 August 2014
13 Sonic: After the Sequel	23:17, 19 August 2014	01:16, 17 July 2014
14 Noye's Fludde	05:39, 17 August 2014	2014 (UTC) and Alfietucker
15 Harry Glicken	05:37, 17 August 2014	19:01, 20 July 2014
16 Frédéric Chopin	05:17, 17 August 2014	17:54, 17 July 2014
17 The Boat Race 2012	05:05, 17 August 2014	07:52, 16 July 2014
18 Thief II: The Metal Age	01:23, 17 August 2014	19:30, 13 July 2014
19 Departures (film)	03:51, 15 August 2014	(UTC) and Curly Turkey
20 Katsudō Shashin	03:46, 15 August 2014	10:27, 1 August 2014
21 Kedok Ketawa	03:56, 15 August 2014	04:45, 17 July 2014
22 Portrait of a Young Girl (Christus)	03:57, 15 August 2014	Ceoil (talk), Johnbod
23 Development of Grand Theft Auto V	02:48, 15 August 2014	07:05, 20 June 2014
24 Fluorine	09:17, 15 August 2014	04:39, 7 July 2014
25 Lost Luggage (video game)	01:58, 10 August 2014	
26 California Chrome	01:59, 10 August 2014	22:42, 11 July 2014
27 Megadeth	01:44, 10 August 2014	21:24, 2 July 2014
